edge_id,left_candidate_id,right_candidate_id,relation,edge_source,metric_note,selection_rule
U139-EDGE-144,RAW-X060::all_component_area_coefficient_variation,RAW-X048::component_area_cv,high_redundancy,PRM138_xonly,no representative,0.0
U139-EDGE-145,RAW-X060::all_component_area_q95_q05_span,RAW-X048::component_area_q95_mm2,high_redundancy,PRM138_xonly,no representative,0.0
U139-EDGE-146,RAW-X060::kept_component_area_coefficient_variation,RAW-X048::component_area_cv,high_redundancy,PRM138_xonly,no representative,0.0
U139-EDGE-147,RAW-X060::kept_component_area_q95_q05_span,RAW-X048::component_area_q95_mm2,high_redundancy,PRM138_xonly,no representative,0.0
U139-EDGE-148,RAW-X060::all_component_area_coefficient_variation,RAW-X060::kept_component_area_coefficient_variation,high_redundancy,PRM138_xonly,no representative,0.0
U139-EDGE-149,RAW-X060::all_component_area_excess_kurtosis,RAW-X060::kept_component_area_excess_kurtosis,high_redundancy,PRM138_xonly,no representative,0.0
U139-EDGE-150,RAW-X060::all_component_area_normalized_total_variation,RAW-X060::kept_component_area_normalized_total_variation,high_redundancy,PRM138_xonly,no representative,0.0
U139-EDGE-151,RAW-X060::all_component_area_q95_q05_span,RAW-X060::kept_component_area_q95_q05_span,high_redundancy,PRM138_xonly,no representative,0.0
U139-EDGE-152,RAW-X060::all_component_area_skewness,RAW-X060::kept_component_area_skewness,high_redundancy,PRM138_xonly,no representative,0.0
U141-EDGE-153,RAW-X061::slice_kept_component_density_coefficient_variation,RAW-X061::slice_raw_component_density_coefficient_variation,high_redundancy,PRM140_xonly,no representative,0.0
U141-EDGE-154,RAW-X061::slice_kept_component_density_excess_kurtosis,RAW-X061::slice_raw_component_density_excess_kurtosis,high_redundancy,PRM140_xonly,no representative,0.0
U141-EDGE-155,RAW-X061::slice_kept_component_density_normalized_total_variation,RAW-X061::slice_raw_component_density_normalized_total_variation,high_redundancy,PRM140_xonly,no representative,0.0
U141-EDGE-156,RAW-X061::slice_kept_component_density_q95_q05_span,RAW-X061::slice_raw_component_density_q95_q05_span,high_redundancy,PRM140_xonly,no representative,0.0
U141-EDGE-157,RAW-X061::slice_kept_component_density_skewness,RAW-X061::slice_raw_component_density_skewness,high_redundancy,PRM140_xonly,no representative,0.0
U145-EDGE-158,RAW-X063::slice_kept_mean_piece_area_coefficient_variation,RAW-X063::slice_raw_mean_piece_area_coefficient_variation,high_redundancy,PRM144_xonly,no representative,0.0
U145-EDGE-159,RAW-X063::slice_kept_mean_piece_area_excess_kurtosis,RAW-X063::slice_raw_mean_piece_area_excess_kurtosis,high_redundancy,PRM144_xonly,no representative,0.0
U145-EDGE-160,RAW-X063::slice_kept_mean_piece_area_normalized_total_variation,RAW-X063::slice_raw_mean_piece_area_normalized_total_variation,high_redundancy,PRM144_xonly,no representative,0.0
U145-EDGE-161,RAW-X063::slice_kept_mean_piece_area_q95_q05_span,RAW-X063::slice_raw_mean_piece_area_q95_q05_span,high_redundancy,PRM144_xonly,no representative,0.0
U145-EDGE-162,RAW-X063::slice_kept_mean_piece_area_skewness,RAW-X063::slice_raw_mean_piece_area_skewness,high_redundancy,PRM144_xonly,no representative,0.0
U147-EDGE-163,RAW-X064::purple_share_coefficient_variation,RAW-X040::overlay_purple_fraction_population_std,high_redundancy,PRM146_xonly,no representative,0.0
U147-EDGE-164,RAW-X064::purple_share_coefficient_variation,RAW-X059::purple_fraction_coefficient_variation,high_redundancy,PRM146_xonly,no representative,0.0
U147-EDGE-165,RAW-X064::purple_share_normalized_total_variation,RAW-X059::blue_fraction_mean_abs_adjacent_change,high_redundancy,PRM146_xonly,no representative,0.0
U147-EDGE-166,RAW-X064::purple_share_normalized_total_variation,RAW-X059::purple_fraction_mean_abs_adjacent_change,high_redundancy,PRM146_xonly,no representative,0.0
U147-EDGE-167,RAW-X064::purple_share_normalized_total_variation,RAW-X059::red_fraction_mean_abs_adjacent_change,high_redundancy,PRM146_xonly,no representative,0.0
U147-EDGE-168,RAW-X064::purple_share_q95_q05_span,RAW-X059::purple_fraction_q95_q05_span,high_redundancy,PRM146_xonly,no representative,0.0
U147-EDGE-169,RAW-X064::red_blue_signed_balance_q95_q05_span,RAW-X053::red_blue_absolute_balance_q90,high_redundancy,PRM146_xonly,no representative,0.0
U147-EDGE-170,RAW-X064::red_blue_absolute_balance_zero_fraction,RAW-X064::red_blue_signed_balance_zero_fraction,high_redundancy,PRM146_xonly,no representative,0.0
U149-EDGE-171,RAW-X065::pair_effective_count_q95_q05_span,RAW-X051::pair_effective_component_count_population_std,high_redundancy,PRM148_xonly,no representative,0.0
U149-EDGE-172,RAW-X065::pair_effective_count_q95_q05_span,RAW-X051::pair_effective_component_count_q90,high_redundancy,PRM148_xonly,no representative,0.0
U149-EDGE-173,RAW-X065::pair_effective_count_q95_q05_span,RAW-X057::slice_component_raw_count_q95_q05_span,high_redundancy,PRM148_xonly,no representative,0.0
U149-EDGE-174,RAW-X065::pair_effective_count_q95_q05_span,RAW-X058::overlay_component_kept_count_q95_q05_span,high_redundancy,PRM148_xonly,no representative,0.0
U149-EDGE-175,RAW-X065::pair_effective_count_q95_q05_span,RAW-X058::overlay_component_raw_count_q95_q05_span,high_redundancy,PRM148_xonly,no representative,0.0
